层级,指标,精确定义,主要用途,推荐频率,优先来源,次级来源/替代,是否建议纳入
核心必选,ONI / RONI,ENSO强度,划分厄尔尼诺阶段,月度,NOAA/气象口径,券商整理,必须
核心必选,印度季风降雨量,6-9月累计降雨相对常年偏差,判断亚洲减产方向,月度/周度,气象局/卖方框架,资讯平台,必须
核心必选,印度/泰国产量/压榨进度,甘蔗与糖产量预估、压榨节奏,验证亚洲减产兑现,月/季,产业/卖方框架,USDA/ISO,必须
核心必选,巴西制糖比,甘蔗用于制糖比例,决定全球糖边际供给,半月/月,UNICA/券商跟踪,卖方月报,必须
核心必选,巴西甘蔗压榨量/产糖量,中南部压榨和产糖规模,现实供给核心,半月/月,UNICA、产业周报,卖方报告,必须
核心必选,全球库销比,库存/消费,决定涨幅弹性,年/季,USDA/ISO、卖方框架,券商供需表,必须
建议纳入,ATR/含糖率,甘蔗含糖率,判断巴西天气对糖产质量影响,半月/月,UNICA/卖方,资讯平台,建议纳入
建议纳入,乙醇-糖价差/原油价格,乙醇相对糖利润、原油水平,解释制糖比变化,日/周/月,市场数据+招商框架,卖方月报,建议纳入
建议纳入,ICE11号糖/郑糖月差与基差,价格结构,识别“弱现实强预期”,日/周/月,ICE/郑商所/晨报,卖方日报,建议纳入
可选增强,巴西可用糖量/出口装船,可用于出口的糖和发运节奏,现实贸易流高频验证,周/月,行业周报,航运/资讯,可选
